Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"496 Courtland Lane, Pickerington, OH 43147",39.894506,-82.767248,Seller/Listing,"300,000",08/29/2023,Residential
"7810 Converse Huff Road, OH 43064",40.089120,-83.261203,Seller/Listing,"550,000",08/29/2023,Residential
"140 Oak Creek Place, Gahanna, OH 43230",40.020307,-82.863567,Seller/Listing,"224,900",08/30/2023,Residential
"3861 Sandstone Circle, OH 43065",40.152017,-83.089657,Seller/Listing,"340,000",08/31/2023,Residential
"4223 Scenic View Drive, OH 43065",40.213349,-83.116908,Buyer,"325,000",09/01/2023,Residential
"6150 Rackley Way, Columbus, OH 43081",40.103665,-82.852286,Buyer,"390,000",09/08/2023,Residential
"7521 Liberton Place, Columbus, OH 43085",40.117633,-82.993105,Seller/Listing,"345,000",09/12/2023,Residential
"4296 Mcnamara Place, OH 43035",40.223134,-83.005968,Buyer,"610,000",09/19/2023,Residential
"116 Thevintree Drive, Columbus, OH 43119",39.953260,-83.155401,Seller/Listing,"356,600",09/20/2023,Residential
"550 E Kelso Road, Columbus, OH 43202",40.021108,-82.997793,Seller/Listing,"285,000",09/22/2023,Residential
"13460 Watson Road, OH 43050",40.300226,-82.514516,Buyer,"550,000",09/27/2023,Residential
"6190 Nichols Lane, OH 43031",40.143476,-82.651914,Buyer,"415,000",09/29/2023,Residential
"288 S Warren Avenue, Columbus, OH 43204",39.949169,-83.071137,Buyer,"217,500",10/04/2023,Residential
"9782 Lynns Road, OH 43062",39.952074,-82.695802,Buyer,"276,500",10/11/2023,Residential
"336 Karst Circle, South Bloomfield, OH 43103",39.718549,-82.998088,Buyer,"357,900",10/13/2023,Residential
"874 Bellefontaine Avenue, Marion, OH 43302",40.573305,-83.145104,Seller/Listing,"148,000",10/20/2023,Residential
"580 Gilbert Street, Columbus, OH 43205",39.952862,-82.973663,Buyer,"289,900",10/20/2023,Residential
"6494 Larch Court, Reynoldsburg, OH 43068",39.941146,-82.821531,Seller/Listing,"110,000",10/23/2023,Residential
"8121 Crossgate Court N, Dublin, OH 43017",40.134567,-83.139956,Seller/Listing,"1,024,650",11/03/2023,Residential
"7331 Holderman Street, OH 43035",40.176484,-83.003092,Seller/Listing,"418,000",11/03/2023,Residential
"8633 Gavinton Court, Dublin, OH 43017",40.142017,-83.149861,Buyer,"1,550,000",11/03/2023,Residential
"3857 Glenfield Road, OH 43232",39.899074,-82.865022,Buyer,"206,000",11/14/2023,Residential
"1210 Westphal Avenue, Columbus, OH 43227",39.949434,-82.882761,Buyer,"268,500",11/17/2023,Residential
"3494 Manchester Drive, OH 43065",40.142648,-83.079985,Seller/Listing,"450,000",11/27/2023,Residential
"24 Pleasant Avenue, Westerville, OH 43081",40.126380,-82.918284,Buyer,"300,000",11/29/2023,Residential
"471 Westport Drive, Groveport, OH 43125",39.849263,-82.899980,Buyer,"235,000",11/30/2023,Residential
"5285 Highpointe Lakes Drive 3105, Columbus, OH 43081",40.086334,-82.875537,Seller/Listing,"530,000",12/15/2023,Residential
"2819 Kelley Court, Columbus, OH 43068",39.925339,-82.823900,Buyer,"200,000",12/19/2023,Residential
"407 Greenland Pass Drive, Delaware, OH 43015",40.318709,-83.096313,Buyer,"419,900",12/21/2023,Residential
"2021 Belangee Drive, OH 43004",40.023054,-82.800717,Buyer,"449,900",01/26/2024,Residential
"463 Cherry Road, Gahanna, OH 43230",40.015884,-82.895124,Seller/Listing,"415,000",01/26/2024,Residential
